id,year,rank,average,bayes_average,users_rated,yearpublished,minplayers,maxplayers,playingtime,minplaytime,maxplaytime,minage,owned,trading,wanting,wishing
137358,2012,18088,5.48,5.5,38,2012,2,6,30,30,30,6,85,2,1,2
10584,1981,14957,6.79,5.518,38,1981,2,2,90,90,90,0,128,4,2,8
11433,1997,13342,6.82,5.527,38,1997,2,2,180,180,180,0,220,10,5,14
137354,2013,18017,5.74,5.5,38,2013,2,2,20,20,20,8,112,8,1,5
162915,2014,19673,4.77,5.486,38,2014,2,8,15,15,15,8,50,3,1,6
14360,1999,19571,4.84,5.487,38,1999,2,16,60,60,60,12,71,4,3,10
213787,0,20711,4.84,5.468,38,0,2,5,0,0,0,14,39,1,8,68
197538,2015,19697,5.07,5.486,38,2015,2,5,15,15,15,5,242,9,0,5
11997,1999,10536,7.62,5.549,38,1999,2,2,0,0,0,10,48,0,21,70
342703,2021,12900,7.3,5.53,38,2021,1,6,20,10,20,8,66,0,6,49
163908,2014,12383,7.51,5.534,38,2014,4,8,60,60,60,0,133,1,21,91
9488,0,17549,5.81,5.503,38,0,2,4,30,30,30,0,157,3,1,24
122873,2012,17991,5.42,5.5,38,2012,3,7,30,30,30,14,103,7,0,5
29018,2007,17144,5.73,5.506,38,2007,2,5,15,15,15,8,71,8,1,5
15991,2000,18447,5.37,5.497,38,2000,2,8,30,30,30,18,106,4,1,6
96564,2011,13745,7.09,5.525,38,2011,2,2,90,90,90,13,76,8,10,45
282421,2018,12871,6.93,5.53,38,2018,1,6,30,30,30,10,74,0,16,48
8724,1974,12473,7.01,5.533,38,1974,2,2,180,180,180,12,138,11,11,14
248927,2018,11385,7.47,5.541,38,2018,2,2,30,30,30,13,137,2,0,6
280730,2019,12998,7.42,5.53,38,2019,2,2,20,10,20,8,66,2,0,3
160950,2014,9959,8.23,5.555,38,2014,0,0,0,0,0,0,103,2,20,74
261112,2018,15675,6.26,5.514,38,2018,1,5,45,30,45,14,59,1,0,8
24042,1985,15269,6.29,5.516,38,1985,2,4,120,120,120,12,56,1,1,4
15497,1982,20162,4.69,5.48,38,1982,2,6,90,90,90,8,57,0,0,0
34713,2008,15273,6.11,5.516,38,2008,2,2,180,180,180,0,160,0,5,9
209644,2016,12053,7.19,5.536,38,2016,2,2,120,90,120,12,143,2,19,55
12520,1995,14251,6.74,5.522,38,1995,2,2,0,0,0,12,197,2,5,8
219374,2017,17202,5.77,5.505,38,2017,2,5,30,30,30,7,49,0,0,5
21807,1999,18862,5.32,5.494,38,1999,2,5,10,10,10,5,110,5,1,3
138064,2013,17671,5.76,5.502,38,2013,2,6,5,5,5,5,75,4,5,25
5165,1998,17670,5.55,5.502,38,1998,2,4,20,20,20,10,128,9,1,4
5863,1977,17669,5.62,5.502,38,1977,4,4,360,60,360,12,153,6,21,43
59226,2009,17219,5.95,5.505,38,2009,6,16,60,60,60,12,75,1,0,3
